name,file
Arabic,arabic.fab
Armintxe Cave,armintxe.fab
Aztec,aztec.fab
Belarusian,belarusian.fab
Boorong,boorong.fab
Chinese,chinese.fab
Contemporary Chinese,contemporary_chinese.fab
Medieval Chinese,medieval_chinese.fab
Dakota,dakota.fab
Egyptian,egyptian.fab
Hawaiian Starlines,hawaiian_starlines.fab
Indian,indian.fab
Inuit,inuit.fab
Japanese Moon Stations,japanese_moon_stations.fab
Kamilaroi (Gamilaraay),kamilaroi.fab
Korean,korean.fab
Lokono,lokono.fab
Macedonian,macedonian.fab
Maori,maori.fab
Maya,maya.fab
Mongolian,mongolian.fab
Mul-Apin Tablets,mul_apin.fab
Navajo,navajo.fab
Norse,norse.fab
Northern Andes,northern_andes.fab
Ojibwe,ojibwe.fab
Romanian,romanian.fab
Sami,sami.fab
Sardinian,sardinian.fab
Seleucid,seleucid.fab
Siberian,siberian.fab
Tongan,tongan.fab
Tukano (Tucano),tukano.fab
Tupi,tupi.fab
Western,western.fab